Q_fever,Fever,Zoonosis,Infection,Echocardiography#Transesophageal_echocardiogram,Alanine_transaminase,Hepatitis,Hepatomegaly,Coxiella_burnetii,Inhalation
515,4897,987,1942,1665,1026,3015,669,176,249
460,4643,886,1958,1714,1082,3248,695,138,258
470,4535,821,2027,1649,960,3038,659,138,261
486,4328,809,1843,1596,1016,2846,630,149,227
398,4175,689,1722,1391,921,2588,555,155,244
334,3763,611,1434,884,682,2323,486,113,160
297,3919,699,1475,975,516,2247,422,103,177
480,4516,952,1979,1888,942,2862,643,185,238
485,4543,886,2078,2138,997,3052,672,215,283
463,5957,944,2021,2047,1072,3140,702,155,244
489,4188,924,1937,1652,1000,3014,693,161,216
413,3894,805,1760,1484,951,3009,611,148,185
307,3325,561,1356,940,693,2239,440,101,167
338,3476,628,1425,741,511,2217,395,89,177
428,4327,875,2060,1626,987,3106,632,186,184
458,4223,887,2269,1815,1063,3131,714,158,255
460,4478,930,2072,1757,1028,3544,731,161,242
492,4015,816,2040,1618,1147,3660,702,176,191
422,3712,824,1804,1508,990,3747,703,193,189
307,3125,582,1731,880,632,2991,439,141,172
350,3543,668,1825,830,591,3205,407,101,181
476,4140,838,2119,1514,996,3555,621,153,212
452,3985,865,2064,1796,1025,3141,660,164,194
417,4062,784,2143,1551,1008,3030,736,181,222
454,3902,667,2640,1511,915,3077,642,147,178
374,3574,705,1728,1354,945,2892,550,136,174
253,3124,576,1332,770,666,2069,452,115,137
282,3374,661,1337,804,568,2229,424,117,170
383,3673,648,1622,1515,848,2612,602,148,175
374,4048,775,1744,1958,1058,2941,681,133,276
429,4164,780,1808,2117,1042,2994,735,140,194
396,3958,767,1747,1965,1058,2947,705,159,209
366,3688,595,1571,1586,912,2559,573,126,147
288,3126,546,1252,1053,737,2273,485,107,147
297,3394,594,1298,875,587,2151,451,96,174
409,4299,779,1715,1585,971,2942,662,125,179
477,4357,751,1883,1780,1114,3431,760,148,229
439,4178,688,1685,1535,952,2773,613,138,233
401,4091,766,1686,1657,916,2836,621,135,196
429,5154,611,1587,1461,936,2927,654,151,175
287,3390,493,1285,783,609,2208,470,100,126
287,3343,504,1256,793,549,1948,379,99,155
400,4053,667,1714,1617,939,2616,626,121,189
401,4211,736,1920,1793,1070,2699,643,159,193
431,4730,737,2115,2091,1186,2892,693,169,261
532,4407,844,1913,2189,1133,2691,722,176,285
399,3911,709,1780,1763,972,2514,604,151,209
298,3413,496,1416,983,705,2074,461,113,188
314,3430,616,1410,961,588,2044,470,118,193
464,4462,866,1991,1995,1034,2754,707,154,174
465,4503,948,2140,2135,1140,3000,891,133,186
439,4407,907,2088,2195,1184,3022,865,164,226
462,4300,968,2021,2161,1113,3011,791,168,250
382,3802,645,1710,1850,1035,2707,680,168,195
292,3218,572,1472,1076,707,1996,518,118,178
318,3641,591,1488,1013,658,2014,456,157,200
394,4449,790,1763,1420,867,2550,606,154,236
420,4560,884,2042,2091,1122,2981,729,172,288
460,4645,861,2008,2344,1125,2775,806,163,231
455,4429,935,2160,2292,1099,2780,770,159,273
400,4456,891,1824,2104,1099,3553,699,157,207
370,3752,726,1521,1166,795,2580,627,125,198
376,4034,710,1668,1114,720,2345,504,138,226
449,4833,1058,2243,2075,1140,3131,796,159,299
496,5233,1056,2263,2506,1296,3411,892,184,299
480,4977,994,2271,2386,1131,2893,828,214,274
499,4610,943,2114,2321,1151,3065,911,224,316
415,4153,825,1935,2015,1146,2711,731,208,199
300,3492,533,1448,1117,875,2092,580,102,180
352,3850,710,1594,1172,685,2246,533,146,255
436,5021,908,2275,2185,1151,2908,803,186,278
486,5031,982,2285,2537,1325,2943,841,213,319
528,4698,995,2236,2458,1251,3203,791,205,283
443,4668,944,2221,2318,1216,3033,800,202,289
457,4394,877,1962,2030,1104,2850,757,171,264
312,3514,570,1464,1153,788,2133,506,122,172
341,4057,657,1669,1174,709,2392,559,155,214
476,5728,979,2340,2396,1248,3348,826,219,324
494,5256,976,2281,2359,1242,3156,838,213,315
456,5098,991,2258,2470,1330,3299,804,239,274
463,4975,1011,2199,2379,1273,3328,871,206,227
367,4243,934,1903,2034,1198,2938,708,163,211
307,3488,1504,1620,1137,836,2154,544,126,197
368,4238,954,1777,1214,761,2463,587,151,228
475,5071,1156,2264,2173,1216,3091,804,193,280
416,5141,1161,2348,2531,1402,3396,980,216,298
470,5242,1149,2495,2382,1493,3515,933,234,316
454,4898,1016,2296,2413,1339,3821,861,211,254
429,4421,1011,2126,1994,1210,3927,720,139,259
294,3790,847,1635,1268,913,2310,597,158,216
398,3999,724,1745,1191,774,2380,559,155,266
557,5208,1051,2359,2194,1274,3236,880,208,369
500,5541,1132,2503,2472,1416,3370,979,217,319
555,5066,1201,2456,2396,1389,3258,842,222,285
558,4976,1072,2496,2345,1364,3212,945,221,305
446,4279,887,1993,2071,1207,2796,766,199,288
337,3674,710,1597,1193,910,2332,544,165,214
377,4227,784,1687,1219,847,2496,620,173,265
549,5979,1244,2459,2288,1300,3729,804,240,323
512,5341,1150,2489,2501,1427,3243,831,224,399
495,5048,1093,2445,2468,1379,3319,885,252,332
524,4862,1163,2377,2551,1458,3189,762,309,299
449,4472,900,2237,2198,1236,3118,782,190,305
263,3679,655,1638,1241,872,2279,513,121,192
348,4109,860,1968,1247,824,2532,548,169,247
460,5251,1184,2408,2464,1340,3132,755,199,281
517,5292,1396,2583,2763,1472,3422,850,240,347
527,4904,1124,2710,2587,1372,3333,784,239,303
532,4889,1109,2222,2415,1371,3234,730,227,305
384,4091,808,1894,2035,1120,2716,669,159,241
281,3575,590,1557,1231,933,2226,558,123,188
308,3666,671,1682,1120,831,2196,507,160,207
397,6657,1105,2221,2168,1297,3018,750,211,285
455,5108,1044,2160,2234,1397,3179,840,236,294
564,4943,1059,2162,2337,1426,3282,811,219,294
488,4761,950,2066,2226,1319,3047,798,206,267
466,4260,871,1905,2045,1163,2671,657,207,265
391,3563,623,1592,1268,880,2244,559,156,208
452,4130,864,1876,1276,886,2687,594,172,253
590,5273,1220,2607,2362,1354,3533,810,219,364
580,5235,1209,2660,2366,1530,3534,974,257,392
509,4762,1091,2357,2196,1424,3429,807,240,385
520,5204,1164,2450,2383,1563,3647,877,203,417
543,4589,1026,2099,1983,1364,3161,715,190,315
458,3789,694,1804,1274,1034,2576,602,161,207
384,3906,850,1870,1180,870,2788,514,201,273
550,5267,1189,2629,2133,1438,3825,780,243,319
551,4652,1099,2567,2340,1317,3598,801,271,353
529,5258,1374,2578,2460,1521,4021,873,248,380
556,4790,1021,2615,2397,1448,3658,732,279,369
458,4024,871,1964,1989,1369,3084,701,199,259
337,3521,650,1628,1219,1038,2401,496,165,237
387,4020,829,1867,1162,896,2640,519,186,288
479,5175,1079,2366,2196,1423,3470,842,194,386
501,4990,1130,2392,2247,1505,3604,774,205,392
515,4517,1066,2235,2093,1352,3547,693,194,316
392,4181,819,2057,1516,1292,3112,627,121,275
345,3915,748,1699,1381,1082,2805,667,156,215
343,3621,674,1482,1133,867,2332,540,142,172
365,4158,758,1695,1093,862,2495,540,181,246
515,5396,1228,2454,2267,1446,3534,798,202,382
544,5612,1257,2652,2602,1616,3870,838,251,364
537,5326,1181,2437,2408,1719,3767,821,225,329
583,5234,1164,2233,2398,1536,3654,807,225,323
519,4565,1030,1983,2071,1530,3328,629,223,278
342,4058,1037,1637,1338,1059,2811,529,153,205
382,4559,1022,1758,1206,893,2783,472,161,228
489,5454,1246,2389,2230,1484,3590,761,268,265
614,5749,1298,2327,2367,1580,3741,760,281,332
535,6157,1441,2675,2796,1912,4086,766,277,361
591,5288,1406,2431,2354,1625,3643,666,247,349
537,4592,952,2001,1979,1330,3142,618,224,275
322,3948,771,1701,1168,982,2705,530,179,186
398,4522,858,1754,1086,904,2646,520,183,230
481,5777,1255,2271,2136,1427,3744,758,288,323
536,5721,1205,2376,2263,1502,3610,763,240,312
518,5552,1186,2320,2247,1430,3385,680,259,275
542,5404,1155,2114,2026,1366,3324,801,199,331
380,4893,793,1928,1428,1269,2955,606,155,251
343,4259,597,1392,963,863,2376,538,150,190
312,4547,721,1500,926,801,2497,438,146,213
448,5891,865,2098,1599,1257,3170,714,203,260
416,5799,907,1946,1577,1356,3288,705,179,278
453,5606,872,1877,1622,1345,2961,642,146,202
416,5381,703,1835,1564,1160,2723,618,153,192
321,4352,574,1399,1263,1001,2498,546,128,179
241,4131,427,1334,835,748,2062,405,116,132
222,4407,446,1235,668,607,2042,284,95,137
238,4431,429,1214,834,712,2091,453,73,124
226,3963,376,1030,679,612,1864,344,70,104
272,5172,518,1399,1140,927,2360,415,98,148
346,5895,540,1646,1275,1021,2587,516,98,201
346,5887,532,1692,1203,1050,2606,483,99,157
311,4990,464,1499,888,810,2078,393,116,153
320,4976,442,1496,693,666,2054,356,97,154
315,5046,517,1503,958,849,1989,386,114,154
246,4659,478,1271,911,602,2199,377,91,143
402,6398,699,1991,1577,1168,2886,612,136,215
396,7397,737,2058,1716,1257,2840,653,147,256
395,6274,744,1971,1618,1356,2742,569,158,216
339,5673,546,1606,1017,935,2333,482,121,197
331,5608,612,1644,954,859,2539,507,126,198
452,6567,902,2293,1837,1502,3411,631,185,254
475,6656,839,2456,2078,1503,3267,745,196,246
530,6725,921,2543,1994,1626,3304,739,172,346
580,6366,972,2328,1952,1505,3268,730,181,321
479,6067,845,2013,1718,1358,2821,705,174,253
343,5025,649,1712,1058,989,2410,475,200,200
290,5457,746,1756,1203,837,2513,471,145,288
482,6682,1073,2206,2040,1387,3346,696,265,351
520,6891,1035,2542,2035,1649,3409,747,193,273
556,7078,1180,2514,2140,1626,3559,781,249,321
519,6624,1017,2340,2125,1625,3526,887,243,345
415,6141,886,2155,1837,1517,3158,743,183,267
331,5087,720,1644,1176,1053,2533,590,130,198
324,5609,804,1767,1175,967,2708,594,134,238
439,6898,1090,2513,1997,1602,3424,749,189,323
511,7300,1103,2371,2212,1690,3541,861,222,317
460,7251,1142,2505,2230,1696,3573,935,208,322
446,6595,1070,2466,2030,1674,3287,733,231,297
471,5764,1043,2085,1796,1550,2992,789,218,254
363,4891,909,1712,1201,1148,2348,495,126,171
311,5610,936,1944,1136,993,2706,455,187,254
476,6896,1209,2471,1996,1635,3377,708,232,346
463,7013,1254,2683,2106,1744,3554,732,224,345
551,6853,1238,2460,2179,1772,3600,823,240,326
443,6319,1117,2320,2075,1706,3455,894,206,298
480,5556,1086,2155,1849,1519,3217,821,173,281
318,4767,738,1615,1236,1110,2438,617,145,195
334,5151,745,1890,1252,874,2735,595,172,246
465,6839,1201,2608,2257,1572,3600,867,220,377
499,6751,1205,2558,2307,1686,3557,1112,266,330
473,6468,1226,2432,2274,1783,3464,953,246,316
521,6234,1332,2598,2214,1833,3548,810,237,306
444,5254,1208,2137,1924,1550,3072,710,192,260
316,4738,1621,1610,1228,1084,2348,669,134,210
363,4927,1273,1910,1153,1045,2713,565,158,233
458,6194,1372,2439,2136,1699,3560,875,229,325
499,6406,1305,2585,2298,1848,3472,872,246,338
536,6285,1121,2543,2279,1827,3400,889,229,314
499,5891,1062,2291,2133,1810,3479,797,236,305
492,7697,999,2124,1836,1623,3000,701,174,251
277,4643,714,1790,1329,1083,2597,633,126,217
338,5250,900,1881,1203,1009,2738,591,191,248
467,6228,1109,2469,2190,1588,3477,890,261,343
522,6878,1277,2648,2399,1840,3818,973,261,374
473,6182,1332,2730,2440,1861,3691,978,233,333
566,5903,1204,2494,2351,1871,3563,864,235,334
436,5228,1019,2106,2043,1704,3270,778,170,239
332,4527,841,1905,1352,1251,2585,615,155,203
377,4998,995,1981,1309,1139,2663,619,154,256
508,6168,1360,2726,2599,1825,3565,872,285,324
520,6431,1333,2758,2515,1951,3762,973,257,382
518,6529,1411,2694,2495,1807,3781,925,279,326
532,5908,1312,2604,2282,1760,3752,956,246,370
551,5357,1096,2255,2043,1552,3201,805,159,308
307,4498,723,1925,1368,1089,2514,604,166,212
370,4991,886,2009,1352,1052,2749,634,185,270
538,6247,2004,2769,2368,1794,3705,883,245,356
529,6032,1505,2662,2407,1864,3795,1046,292,357
523,6073,1341,2701,2330,1788,3656,908,259,353
611,5820,1339,2598,2452,1791,3989,928,274,335
524,4960,1106,2326,2093,1681,3267,866,249,285
359,4334,854,1867,1303,1177,2606,642,162,262
347,4813,1023,1748,1163,1071,2747,626,178,238
533,6054,1332,2291,2263,1792,3612,896,246,349
548,6047,1409,2331,2389,1856,3600,969,309,363
558,5789,1310,2203,2374,1796,3587,911,254,336
502,6491,1221,2172,2360,2062,3557,1028,213,407
510,5029,1054,1900,1912,1646,3321,830,206,287
334,5174,819,1493,1265,1259,2771,657,133,210
516,4624,871,1710,1204,1106,2794,578,239,219
599,6056,1208,2298,2273,1809,4079,877,259,330
534,5843,1271,2292,2345,1902,4054,941,240,356
579,5714,1312,2203,2373,1903,3913,936,264,359
599,5313,1218,2150,2252,1731,3757,879,195,334
464,4737,1090,1898,1832,1561,3324,734,185,279
370,4017,791,1572,1289,1241,3157,582,180,204
424,4566,889,1642,1179,1021,3325,638,195,234
565,5633,1283,1948,2186,1728,4364,957,283,307
586,5448,1272,2049,2246,1779,4498,859,254,277
610,5091,1208,2031,2125,1715,4246,814,243,296
554,5031,1100,1894,2172,1513,4179,778,226,229
441,4443,822,1567,1589,1444,4439,680,277,222
358,3664,681,1288,1075,1093,3390,540,138,182
324,4205,733,1354,1031,791,3588,514,165,191
547,5274,1038,1738,1860,1760,4262,737,282,289
654,5535,1143,1935,2078,1780,4596,994,238,314
579,5916,1213,3687,2119,1843,4770,849,285,314
528,5662,1199,3299,2007,1720,4167,792,222,327
517,4223,1101,2462,1760,1423,3419,730,184,251
330,3244,781,2043,979,1124,3160,585,229,213
365,3706,981,2122,1087,998,3318,597,193,249
567,4877,1360,2444,1935,1686,4453,858,291,318
644,4608,1299,2592,2178,1736,4562,858,268,302
529,4260,1509,2343,1989,1703,4193,772,241,333
545,4217,1332,2568,1991,1719,4503,820,286,376
481,3548,992,1989,1692,1478,3736,655,262,274
336,2986,811,1771,1134,1042,2979,606,170,240
423,3358,911,1847,1058,1011,3093,582,255,467
773,4728,1283,2358,1908,1632,4058,862,231,426
697,4631,1376,2437,2066,1792,4350,778,268,524
716,4342,1363,2306,2003,1632,4248,855,276,1130
576,3997,1342,2139,1927,1408,4439,905,293,983
492,3770,1130,2158,1661,1255,4492,673,218,396
357,2999,702,1649,1071,765,2852,526,169,305
444,3474,993,2023,1149,242,3103,638,226,277
550,4482,1346,2300,1925,310,4225,785,252,413
569,4250,1247,2312,2046,385,4302,842,234,619
614,4474,1315,2194,2041,347,4456,874,330,474
595,4179,1355,2174,1886,352,4394,856,294,436
476,3721,1052,1870,1599,293,3770,686,200,262
357,3097,771,1440,1051,228,2830,554,206,293
384,3599,1021,1594,1129,196,3093,558,213,323
589,4560,1378,2249,1919,320,4427,811,322,348
633,4239,1299,2185,1972,369,4200,875,234,374
607,3943,1312,2126,1779,315,3946,777,242,252
547,4005,1298,2171,1875,283,4099,766,241,403
483,3711,1080,1925,1588,324,3721,768,206,323
378,2981,762,1506,1088,233,2765,551,168,180
475,3259,931,1458,951,221,2999,548,191,243
599,4059,1329,1930,1733,364,3888,788,243,522
635,4048,1328,2088,1885,362,4159,834,270,274
595,4336,1384,2266,2033,380,4159,796,263,467
470,3971,1248,1996,1787,266,3957,797,209,401
521,3552,996,1761,1699,276,3584,727,207,272
326,2959,727,1366,962,188,2522,537,160,225
423,3198,801,1563,996,193,2773,535,173,269
601,4130,1354,2057,1965,272,3939,771,239,300
633,4336,1197,2212,2109,606,4249,813,261,322
525,4146,1140,2096,2001,1509,4081,777,242,302
562,4136,1420,2276,2008,1583,4466,807,275,288
498,3275,970,1751,1745,1532,3998,668,250,283
340,2825,612,1485,1054,1013,2657,538,176,190
361,3029,773,1595,883,867,2826,545,160,208
540,3791,1334,1865,1412,1332,3615,683,247,337
533,4095,1063,1991,1772,1694,4037,824,251,288
657,3835,1101,1928,1591,1527,3910,793,262,268
591,3886,993,1858,1744,1654,3790,855,223,267
448,3364,789,1625,1404,1398,3580,737,210,199
331,2690,631,1205,801,1063,2529,481,140,157
380,2818,595,1352,726,823,2494,430,183,154
452,3697,802,1599,1195,1245,3301,603,175,236
556,4039,1064,1910,1704,1528,4266,726,218,259
668,3911,1053,1919,1804,1564,4299,853,259,255
526,3807,1093,1798,1591,1539,4047,830,252,296
568,3360,827,1613,1447,1400,3803,682,237,216
401,2780,597,1207,839,916,3999,484,190,176
399,3129,782,1435,861,895,4029,476,191,191
547,4242,1189,1946,1654,1545,5010,715,246,486
564,3816,1084,2166,1719,1548,5086,775,208,283
494,3858,1027,2108,1781,1597,5326,758,234,354
533,3777,1105,1901,1720,1657,5388,716,265,464
527,3236,869,1706,1458,1523,4225,675,272,241
351,2709,605,1301,836,997,3025,514,158,166
365,3125,714,1525,894,857,3006,525,157,219
508,3815,1093,2059,1721,1627,4687,784,233,317
667,3754,1007,1930,1925,1714,4515,806,238,395
639,3911,974,2156,1909,1811,5254,795,233,333
598,3584,892,1973,1701,1629,4431,708,233,248
500,3348,789,1891,1468,1473,4142,707,190,257
570,3109,631,1432,980,1058,2855,533,171,178
369,3292,701,1586,930,864,2935,525,147,190
528,3799,1173,1976,1919,1607,4190,789,192,262
483,3817,1121,2042,1923,1626,7795,799,218,240
463,3868,979,2036,1856,1582,4478,754,209,269
553,3513,1011,2105,1876,1598,4375,760,237,232
374,3142,910,1612,1612,1491,3829,643,182,208
305,2684,611,1493,1091,1092,2990,508,133,165
310,2857,635,1593,886,1012,2919,446,118,178
468,3591,1266,2017,1740,1506,5569,724,180,215
482,3871,991,2076,1868,1783,6778,792,230,265
496,3632,934,1875,1859,1648,4640,838,220,251
432,3763,1024,1998,1785,1745,5170,788,185,239
360,3238,907,1620,1399,1471,3816,631,148,201
237,2584,659,1328,946,1024,2852,494,92,157
282,2837,649,1265,835,850,2893,457,129,167
408,3770,824,1918,1586,1477,3852,745,152,221
508,3815,951,1954,1704,1571,3983,756,237,291
416,3790,968,1837,1709,1553,3835,695,161,229
395,3079,778,1631,1224,1234,3027,583,160,197
337,3019,767,1453,1265,1088,2899,503,134,160
472,2593,604,1346,890,932,2455,472,120,116
329,2965,666,1312,879,912,2411,500,138,186
444,3671,837,1692,1625,1464,3506,677,174,194
429,3684,880,1938,1867,1561,3787,730,182,240
504,3620,767,1801,1794,1538,3913,673,194,241
440,3444,704,1838,1699,1536,3263,737,141,241
398,3097,671,1605,1481,1341,2750,679,148,164
272,2458,525,1160,846,974,2310,460,95,152
324,2785,537,1247,701,790,2408,368,104,166
441,3592,833,1785,1488,1330,3740,739,200,176
417,3652,821,1766,1673,1447,3627,764,165,216
417,3550,796,1796,1576,1444,3455,797,195,214
444,3507,810,1786,1503,1423,3268,678,183,188
338,3008,720,1548,1283,1234,2915,659,169,146
241,2722,527,1289,821,911,2187,516,83,147
331,3141,645,1409,792,699,2223,433,139,149
421,3699,807,1740,1553,1320,3412,678,186,224
0,0,0,0,0,0,0,0,0,0
156,1162,272,556,651,466,1741,296,58,72
320,3019,722,1559,1342,1246,3196,673,157,178
313,2777,637,1341,1195,1134,3526,599,132,131
322,2274,530,1124,696,904,2873,418,78,159
261,2383,556,1165,739,676,3424,399,90,143
357,3300,704,1642,1407,1208,4230,614,159,171
393,2771,727,1491,1470,1271,3773,621,121,172
437,2686,713,1489,1449,1212,3105,681,123,170
332,2768,684,1548,1314,1167,2857,626,127,194
331,2529,883,1419,1296,1111,2782,598,132,152
246,2113,722,1167,779,822,2159,420,94,144
259,2285,687,1168,739,712,2032,456,90,122
352,2828,855,1459,1356,1069,2709,629,132,188
420,2684,843,1588,1376,1196,2803,632,148,185
383,2628,799,1767,1617,1175,2910,695,137,155
369,2430,748,1457,1406,1110,2836,579,146,159
355,2577,657,1322,1229,932,2438,532,139,129
243,2463,716,1120,776,585,2036,417,86,123
299,2763,1729,1148,814,511,2140,418,98,149
424,3253,1574,1569,1531,790,2840,573,159,205
388,3408,881,1764,1599,989,3157,689,156,172
398,3181,811,1512,1705,922,2909,640,148,202
497,2959,760,1520,1454,780,2799,540,146,160
381,2861,663,1380,1375,827,2518,593,149,189
319,2565,486,1111,922,532,2013,487,104,161
309,2700,537,1070,821,440,2170,403,98,148
396,3229,720,1547,1454,942,2710,580,167,209
461,2689,689,1308,1418,950,2609,574,122,172
382,2819,683,1371,1405,922,2467,850,158,149
441,2889,681,1371,1399,943,2592,610,152,189
355,2656,733,1314,1130,780,2548,522,134,187
246,2170,597,989,768,609,1994,419,70,108
265,2391,528,1006,761,493,1913,400,88,130
378,2993,650,1324,1341,802,2468,575,155,163
406,3153,705,1437,1463,906,2596,647,190,165
404,2984,761,1448,1380,911,2756,573,159,192
417,3136,734,1408,1356,961,2671,540,166,142
354,2926,667,1319,1172,814,2394,555,140,167
250,2441,467,947,694,609,1843,406,82,104
287,2559,477,897,683,512,1856,369,97,141
343,2946,658,1326,1119,832,2285,462,113,152
366,3103,754,1432,1431,884,2630,511,113,166
409,3305,805,1620,1568,1036,2721,659,155,191
390,3220,778,1390,1400,955,2684,637,148,165
390,2930,722,1272,1273,916,2285,569,155,156
262,2448,529,1083,761,711,1719,415,93,119
320,2808,624,1140,777,578,1965,368,152,218
417,3256,910,1562,1605,935,2542,525,200,162
392,4239,892,1575,1678,1132,2782,659,158,169
446,3493,887,1578,1813,979,2755,598,197,173
445,3562,940,1561,1752,1152,2805,647,165,217
485,3798,851,1493,1495,949,2749,508,161,188
269,3291,580,1235,930,688,2224,445,88,125
295,2848,667,1245,838,581,2122,410,149,169
425,3592,826,1585,1717,1038,2668,532,209,198
409,3570,809,1591,1813,1104,2767,562,184,209
432,3562,889,1588,1894,1097,2880,639,160,216
408,3388,919,1591,1743,1060,2630,536,130,164
398,3259,804,1514,1607,963,2525,606,142,171
249,2654,509,1146,881,692,2019,382,113,138
307,2907,622,1263,969,667,2102,381,117,150
395,3587,843,1574,1706,1094,2672,585,173,190
471,3676,1007,1578,1873,1171,2775,665,168,214
433,3644,814,1702,1757,1232,2780,575,173,204
418,3327,943,1634,1727,1054,2808,581,164,202
370,3015,892,1441,1547,979,2309,573,149,149
250,2590,568,1038,904,748,1809,401,106,169
336,2846,620,1181,877,624,2028,432,155,191
395,3564,909,1640,1813,1099,2727,627,186,255
454,3820,1019,1700,1984,1269,2841,747,189,242
421,3738,931,1709,1998,1289,2968,686,202,266
398,3694,1014,1594,1786,1250,2672,694,195,229
371,3450,826,1460,1352,1109,2159,558,178,189
256,2852,671,1215,838,788,1654,498,127,169
298,3125,728,1268,855,749,1725,473,169,220
376,3841,1027,1943,1519,1106,2284,696,184,254
359,3730,1003,1664,1575,1189,2764,700,167,247
425,3738,965,1673,1702,1130,2550,688,173,232
386,3487,929,1629,1802,1160,2398,745,250,246
336,3166,813,1437,1600,1021,2090,461,171,216
278,2538,569,1173,935,696,1728,398,132,136
294,2718,669,1215,790,654,1664,374,138,197
412,3308,1031,1408,1346,962,2168,607,199,200
462,3412,976,1564,1561,1086,2454,596,189,244
416,3426,960,1591,1538,1149,2398,619,216,252
407,3600,931,1560,1427,1136,2291,577,169,263
388,3242,827,1386,1327,1151,2184,575,161,194
264,2675,577,1224,852,781,1721,431,115,138
304,2826,618,1321,901,723,1795,435,143,207
411,3631,952,1700,1439,1230,2507,634,153,245
410,3827,1091,1725,1541,1164,2485,684,167,286
452,3560,1049,1800,1522,1242,2658,696,177,264
426,3478,1050,1695,1464,1191,2394,596,200,248
458,3109,875,1441,1262,1021,2384,600,193,216
324,2681,619,1197,817,811,2149,462,139,144
316,3022,630,1206,858,736,2042,446,154,199
404,3611,975,1439,1466,1101,2751,596,165,244
466,3802,1069,1662,1503,1249,2836,678,200,255
499,3594,959,1481,1391,1099,2854,594,206,222
426,3286,957,1452,1325,1070,2584,697,180,200
324,2870,834,1322,1093,954,2195,532,144,165
289,2516,655,1045,738,710,1762,426,117,164
319,2552,671,1230,744,691,1980,347,125,849
452,3410,1097,1554,1324,1176,2657,561,187,231
484,3328,1054,1654,1376,1234,2769,525,173,233
507,3607,1050,1675,1432,1206,3042,619,186,261
489,3405,1078,1608,1459,1245,2924,477,193,295
415,2946,742,1416,1228,1134,2494,617,186,277
358,2493,557,1061,879,921,1991,441,123,146
366,2974,614,1207,941,884,2043,466,154,408
492,4444,862,1698,1576,1298,3016,702,198,328
532,4655,1137,1948,1731,1421,3241,644,233,254
581,5020,1012,2040,1779,1453,3199,716,211,277
540,4468,1035,1936,1587,1446,2991,648,196,278
568,4119,858,1777,1490,1325,2922,670,178,192
533,3505,683,1315,1015,1025,2335,506,174,167
445,3783,866,1412,891,902,2306,541,168,201
552,4896,1131,2051,1604,1426,3236,690,215,255
570,4570,1135,1984,1416,1471,2936,715,234,270
475,4406,1154,1849,1357,1419,2790,632,202,269
418,4296,1089,1754,1294,1481,2757,615,178,258
412,3777,917,1666,1246,1393,2421,559,171,217
267,2775,641,1254,788,1004,1935,404,143,124
316,2474,642,1476,747,877,2000,354,138,174
379,3358,1062,1749,1444,1426,2639,483,167,221
409,3330,999,1566,1326,1472,2910,494,196,244
414,3045,909,1548,1348,1430,2646,561,150,235
344,2630,730,1402,957,1303,2472,499,139,178
293,2345,715,1187,991,1051,2077,380,112,150
272,2216,609,1007,726,882,1823,360,134,156
307,2523,864,1130,714,785,2005,368,166,167
415,3449,1263,1788,1305,1178,3051,539,198,248
502,3511,1159,2208,1334,1242,3332,540,195,230
506,3731,1179,2414,1451,1352,3301,663,227,262
567,3302,1169,2653,1330,1298,3113,651,240,288
546,3015,1040,2087,1266,1201,2542,484,198,222
305,2526,783,1836,805,918,2266,420,137,172
309,2886,893,1955,793,777,2297,351,173,186
484,3704,1187,2478,1311,1340,2989,514,218,269
594,3565,1185,2500,1395,1295,3044,559,223,298
501,3450,1106,2318,1316,1264,2900,525,213,267
527,2725,966,1802,1128,1019,2417,522,197,222
373,2374,785,1577,985,880,2285,439,154,191
302,1951,542,1204,578,601,1666,315,141,135
326,2203,563,1275,608,600,2103,264,133,157
412,2623,834,1818,1054,960,2528,437,182,205
388,2520,770,1628,1069,967,2614,420,146,186
397,2643,797,1616,1023,1005,2323,423,164,212
412,2332,716,1602,978,894,2431,432,122,162
291,2054,528,1243,862,782,1910,376,82,113
229,1853,320,927,472,503,1595,237,92,97
220,1969,336,1015,412,419,1540,216,76,95
281,2169,460,1153,721,707,1886,311,86,127
249,1970,351,992,620,641,1701,299,59,109
208,1706,292,804,389,384,1264,192,52,66
276,2060,405,1082,607,505,1633,332,88,81
262,2438,436,1193,655,702,1779,338,98,95
247,2288,350,1013,466,515,1695,243,104,129
205,2194,435,1005,520,463,1606,230,81,106
282,2585,415,1193,798,743,2457,398,90,127
260,2242,421,1062,671,676,1795,323,98,93
193,1995,300,1020,467,476,1439,243,58,88
302,2665,510,1520,854,807,2125,342,110,111
273,2797,571,1446,852,869,2138,389,129,115
241,2420,471,1243,575,624,1789,308,96,122
58,594,111,191,88,92,314,51,26,17
0,0,0,0,0,0,0,0,0,0
467,3405,736,2132,1283,1192,2745,526,164,220
526,3277,752,2020,1272,1086,2628,500,122,187
450,3067,763,2043,1199,1141,2517,485,119,173
458,2754,774,1851,1207,1125,2648,481,133,192
